millis|humidity|temperatureDHT|temperatureBMP|pressure|altitude|temperatureRod
244801|34.00|24.10|23.30|96577.00|402.95|27.50
250610|34.00|24.10|23.30|96577.00|402.95|27.50
256417|33.90|24.10|23.30|96576.00|403.04|27.50
262224|33.90|24.10|23.30|96573.00|403.30|27.50
268030|33.90|24.10|23.30|96571.00|403.47|27.44
273839|33.80|24.10|23.40|96573.00|403.30|27.44
279646|33.80|24.10|23.40|96564.00|404.08|27.44
285452|33.70|24.10|23.40|96570.00|403.56|27.44
291260|33.70|24.10|23.40|96564.00|404.08|27.44
297067|33.70|24.20|23.40|96576.00|403.04|27.44
302873|33.60|24.20|23.40|96573.00|403.30|27.44
308681|33.60|24.20|23.40|96570.00|403.56|27.44
314494|33.50|24.20|23.50|96564.00|404.08|27.44
320304|33.50|24.20|23.50|96567.00|403.82|27.50
326112|33.50|24.20|23.50|96567.00|403.82|27.44
331919|33.40|24.20|23.50|96564.00|404.08|27.44
337727|33.40|24.20|23.50|96561.00|404.34|27.44
343534|33.30|24.20|23.50|96561.00|404.34|27.44
349343|33.30|24.20|23.50|96569.00|403.64|27.50
355150|33.30|24.20|23.50|96563.00|404.16|27.44
360960|33.30|24.20|23.60|96569.00|403.64|27.44
366767|33.30|24.20|23.60|96569.00|403.64|27.44
372576|33.20|24.20|23.60|96563.00|404.16|27.37
378385|33.20|24.30|23.60|96560.00|404.42|27.37
384192|33.20|24.20|23.60|96563.00|404.16|27.37
390000|33.20|24.20|23.60|96566.00|403.90|27.37
395808|33.20|24.30|23.60|96568.00|403.73|27.37
401615|33.10|24.30|23.60|96571.00|403.47|27.37
407424|33.10|24.30|23.70|96571.00|403.47|27.37
413233|33.10|24.30|23.70|96571.00|403.47|27.37
419041|33.20|24.30|23.70|96565.00|403.99|27.37
424848|33.10|24.30|23.70|96560.00|404.42|27.44
430656|33.10|24.30|23.70|96568.00|403.73|27.44
436465|33.10|24.30|23.70|96554.00|404.94|27.37
442274|33.10|24.30|23.70|96568.00|403.73|27.37
448082|33.00|24.30|23.70|96562.00|404.25|27.37
453891|33.00|24.30|23.70|96576.00|403.04|27.44
459698|33.00|24.40|23.70|96571.00|403.47|27.50
465507|33.00|24.30|23.80|96567.00|403.82|27.44
471315|33.00|24.40|23.80|96570.00|403.56|27.44
477122|32.90|24.40|23.80|96570.00|403.56|27.44
482931|32.90|24.40|23.80|96573.00|403.30|27.44
488739|32.90|24.40|23.80|96567.00|403.82|27.44
494546|32.90|24.50|23.80|96573.00|403.30|27.50
500356|32.80|24.40|23.80|96573.00|403.30|27.50
506165|32.80|24.40|23.80|96564.00|404.08|27.50
511972|32.80|24.40|23.80|96570.00|403.56|27.50
517780|32.70|24.50|23.80|96567.00|403.82|27.44
523589|32.70|24.50|23.90|96556.00|404.77|27.50
529397|32.70|24.50|23.90|96567.00|403.82|27.50
535205|32.70|24.50|23.90|96564.00|404.08|27.50
541012|32.70|24.50|23.90|96572.00|403.38|27.50
546822|32.70|24.50|23.90|96572.00|403.38|27.50
552630|32.70|24.50|23.90|96572.00|403.38|27.56
558439|32.60|24.50|23.90|96561.00|404.34|27.56
564246|32.70|24.50|23.90|96563.00|404.16|27.56
570054|32.60|24.50|23.90|96559.00|404.51|27.56
575863|32.60|24.50|23.90|96572.00|403.38|27.56
581671|32.60|24.60|23.90|96569.00|403.64|27.56
587479|32.60|24.50|24.00|96558.00|404.60|27.50
593288|32.60|24.60|24.00|96563.00|404.16|27.50
599096|32.60|24.60|24.00|96560.00|404.42|27.50
604903|32.50|24.60|24.00|96569.00|403.64|27.50
610712|32.50|24.60|24.00|96563.00|404.16|27.50
616520|32.50|24.60|24.00|96566.00|403.90|27.50
622329|32.50|24.60|24.00|96563.00|404.16|27.50
628136|32.50|24.60|24.00|96566.00|403.90|27.50
633945|32.50|24.60|24.00|96565.00|403.99|27.50
639753|32.50|24.70|24.00|96563.00|404.16|27.44
645560|32.50|24.70|24.00|96565.00|403.99|27.44
651369|32.40|24.70|24.10|96562.00|404.25|27.37
657177|32.40|24.70|24.10|96565.00|403.99|27.37
662984|32.30|24.70|24.10|96562.00|404.25|27.37
668792|32.30|24.70|24.10|96571.00|403.47|27.37
674601|32.30|24.70|24.10|96562.00|404.25|27.37
680410|32.30|24.70|24.10|96568.00|403.73|27.31
686219|32.30|24.70|24.10|96565.00|403.99|27.37
692026|32.30|24.70|24.10|96574.00|403.21|27.37
697834|32.30|24.70|24.10|96568.00|403.73|27.37
703643|32.30|24.80|24.10|96565.00|403.99|27.44
709451|32.20|24.80|24.20|96562.00|404.25|27.44
715258|32.30|24.80|24.20|96573.00|403.30|27.44
721067|32.30|24.80|24.20|96565.00|403.99|27.44
726874|32.20|24.80|24.20|96573.00|403.30|27.44
732683|32.20|24.80|24.20|96570.00|403.56|27.44
738491|32.20|24.80|24.20|96561.00|404.34|27.44
744300|32.10|24.80|24.20|96564.00|404.08|27.44
750108|32.10|24.80|24.20|96564.00|404.08|27.44
755916|32.10|24.80|24.20|96567.00|403.82|27.50
761723|32.10|24.80|24.20|96564.00|404.08|27.50
767533|32.10|24.80|24.20|96573.00|403.30|27.56
773340|32.10|24.80|24.20|96570.00|403.56|27.56
779149|32.10|24.80|24.30|96567.00|403.82|27.56
784957|32.10|24.90|24.30|96570.00|403.56|27.56
790764|32.00|24.80|24.30|96570.00|403.56|27.62
796573|32.00|24.90|24.30|96567.00|403.82|27.69
802380|32.00|24.80|24.30|96561.00|404.34|27.75
808190|32.00|24.80|24.30|96567.00|403.82|27.75
813999|32.00|24.80|24.30|96561.00|404.34|27.69
819806|32.00|24.90|24.30|96567.00|403.82|27.62
825615|32.00|24.90|24.30|96564.00|404.08|27.62
831422|32.00|24.90|24.30|96569.00|403.64|27.69
837231|32.00|24.90|24.30|96569.00|403.64|27.69
843039|32.00|24.90|24.30|96575.00|403.13|27.62
848847|32.00|24.90|24.40|96572.00|403.38|27.56
854656|32.10|25.00|24.40|96560.00|404.42|27.56
860463|32.10|24.90|24.40|96569.00|403.64|27.62
866272|32.10|25.00|24.40|96575.00|403.13|27.75
872082|32.00|25.00|24.40|96572.00|403.38|28.19
877890|32.00|25.00|24.40|96563.00|404.16|28.62
883697|31.90|25.00|24.40|96575.00|403.13|29.06
889506|31.90|25.00|24.40|96566.00|403.90|29.44
895314|31.90|25.00|24.40|96568.00|403.73|29.75
901123|31.80|25.00|24.40|96563.00|404.16|29.87
906930|31.80|25.00|24.50|96568.00|403.73|29.81
912739|31.80|25.00|24.50|96571.00|403.47|29.81
918547|31.80|25.00|24.50|96574.00|403.21|29.94
924355|31.80|25.00|24.50|96574.00|403.21|29.81
930164|31.80|25.10|24.50|96577.00|402.95|29.62
935972|31.80|25.10|24.50|96565.00|403.99|29.50
941780|31.70|25.10|24.50|96562.00|404.25|29.31
947589|31.70|25.10|24.50|96554.00|404.94|29.12
953397|31.80|25.10|24.50|96560.00|404.42|29.06
959205|31.90|25.20|24.50|96568.00|403.73|29.06
965013|31.90|25.10|24.60|96565.00|403.99|29.00
970821|31.90|25.10|24.60|96567.00|403.82|29.00
976629|31.90|25.20|24.60|96564.00|404.08|29.00
982437|31.90|25.20|24.60|96564.00|404.08|29.00
988246|31.90|25.20|24.60|96570.00|403.56|29.06
994055|31.90|25.20|24.60|96559.00|404.51|29.25
999871|31.80|25.20|24.60|96561.00|404.34|29.31
1005680|31.80|25.20|24.60|96559.00|404.51|29.37
1011488|31.80|25.20|24.70|96561.00|404.34|29.50
1017296|31.80|25.30|24.70|96564.00|404.08|29.75
1023105|31.80|25.30|24.70|96572.00|403.38|30.00
1028913|31.90|25.30|24.70|96566.00|403.90|30.06
1034721|31.90|25.30|24.70|96563.00|404.16|30.12
1040529|31.90|25.30|24.70|96569.00|403.64|30.12
1046337|31.90|25.30|24.70|96560.00|404.42|30.19
1052145|31.90|25.30|24.80|96558.00|404.60|30.31
1057955|31.90|25.30|24.80|96558.00|404.60|30.44
1063764|31.90|25.30|24.80|96563.00|404.16|30.56
1069573|31.90|25.40|24.80|96520.00|407.89|30.81
1075382|32.00|25.30|24.80|96514.00|408.40|31.00
1081190|31.90|25.40|24.80|96346.00|422.96|30.94
1086998|31.90|25.40|24.80|96015.00|451.70|30.56
1092806|32.10|25.40|24.90|95708.00|478.43|30.25
1098614|32.30|25.50|24.90|95421.00|503.48|29.81
1104421|32.20|25.40|24.90|95141.00|527.98|29.37
1110231|32.10|25.50|24.90|94808.00|557.19|28.87
1116041|32.10|25.50|24.90|94596.00|575.83|28.44
1121850|32.00|25.50|24.90|94315.00|600.59|28.12
1127658|31.90|25.50|24.90|94039.00|624.97|27.69
1133466|31.80|25.50|25.00|93803.00|645.86|27.56
1139274|31.70|25.50|25.00|93603.00|663.59|27.37
1145082|31.60|25.60|25.00|93351.00|685.99|27.12
1150889|31.50|25.60|25.00|93090.00|709.23|26.87
1156699|31.40|25.60|25.00|92863.00|729.49|26.62
1162507|31.30|25.60|25.00|92717.00|742.54|26.44
1168314|31.20|25.60|25.00|92517.00|760.44|26.19
1174123|31.10|25.60|25.10|92273.00|782.33|25.87
1179933|31.10|25.70|25.10|92030.00|804.17|25.81
1185741|31.00|25.70|25.10|91820.00|823.09|25.50
1191548|30.90|25.70|25.10|91692.00|834.63|25.12
1197358|30.90|25.70|25.10|91489.00|852.97|24.75
1203166|30.80|25.70|25.10|91289.00|871.07|24.50
1208973|30.90|25.70|25.10|91039.00|893.74|24.19
1214782|30.80|25.70|25.20|90786.00|916.73|23.81
1220590|30.80|25.70|25.20|90606.00|933.12|23.56
1226397|30.70|25.80|25.20|90400.00|951.92|23.12
1232206|30.60|25.80|25.20|90193.00|970.83|22.81
1238017|30.50|25.80|25.20|89997.00|988.78|22.44
1243825|30.50|25.80|25.20|89790.00|1007.76|22.19
1249632|30.30|25.80|25.20|89618.00|1023.56|21.94
1255441|30.20|25.80|25.20|89444.00|1039.57|21.69
1261250|30.10|25.80|25.20|89230.00|1059.30|21.44
1267058|30.00|25.90|25.30|88998.00|1080.73|21.37
1272866|30.00|25.90|25.30|88733.00|1105.26|21.12
1278675|29.90|25.90|25.30|88504.00|1126.51|20.94
1284484|29.80|25.90|25.30|88251.00|1150.03|20.94
1290292|29.70|25.90|25.30|88002.00|1173.24|20.62
1296105|29.60|25.90|25.30|87691.00|1202.30|20.37
1301913|29.30|25.90|25.30|87412.00|1228.44|20.00
1307721|29.10|25.90|25.30|87232.00|1245.34|19.87
1313530|29.10|25.90|25.30|87014.00|1265.85|20.06
1319337|29.10|25.90|25.30|86781.00|1287.81|20.12
1325147|29.10|25.90|25.30|86552.00|1309.45|20.12
1330954|29.10|25.90|25.30|86354.00|1328.19|20.00
1336763|29.10|26.00|25.40|86166.00|1346.02|19.87
1342571|29.10|25.90|25.30|85934.00|1368.06|19.75
1348379|29.20|26.00|25.40|85742.00|1386.34|19.62
1354187|29.20|26.00|25.40|85441.00|1415.07|19.37
1359993|29.10|26.00|25.40|85185.00|1439.56|19.25
1365803|28.80|26.00|25.40|84880.00|1468.82|19.00
1371610|28.80|26.00|25.40|84600.00|1495.76|18.69
1377419|28.70|26.00|25.40|84334.00|1521.42|18.50
1383227|28.60|26.00|25.40|84040.00|1549.85|18.44
1389034|28.50|26.00|25.40|83811.00|1572.06|18.19
1394843|28.40|26.00|25.40|83580.00|1594.50|18.00
1400650|28.40|26.00|25.40|83373.00|1614.66|17.87
1406459|28.50|26.00|25.40|83151.00|1636.33|17.75
1412267|28.60|26.00|25.40|82937.00|1657.26|17.75
1418076|28.60|26.00|25.40|82714.00|1679.11|17.81
1423885|28.60|26.00|25.40|82468.00|1703.28|17.56
1429692|28.20|26.00|25.40|82251.00|1724.64|17.25
1435501|28.20|26.00|25.40|81928.00|1756.52|16.94
1441308|28.00|26.00|25.40|81635.00|1785.53|16.50
1447117|27.80|26.00|25.40|81357.00|1813.14|16.12
1452925|27.80|26.00|25.40|81105.00|1838.23|15.94
1458734|27.40|26.00|25.40|80904.00|1858.28|15.75
1464543|27.40|26.00|25.40|80697.00|1878.98|15.63
1470350|27.50|26.00|25.40|80528.00|1895.91|15.44
1476160|27.60|26.00|25.40|80352.00|1913.57|15.25
1481969|27.70|26.00|25.40|80115.00|1937.40|15.13
1487776|27.70|26.00|25.40|79808.00|1968.36|15.13
1493585|27.70|26.00|25.40|79504.00|1999.11|14.88
1499394|27.60|26.00|25.40|79190.00|2030.97|14.75
1505201|27.50|26.00|25.40|78947.00|2055.70|14.69
1511010|27.00|26.00|25.40|78742.00|2076.61|14.88
1516817|26.60|26.00|25.40|78581.00|2093.06|14.94
1522626|26.30|26.00|25.40|78372.00|2114.45|14.88
1528433|26.00|26.00|25.40|78137.00|2138.57|14.75
1534243|26.00|26.00|25.40|77923.00|2160.58|14.56
1540050|25.90|26.00|25.40|77662.00|2187.49|14.44
1545860|25.80|26.00|25.40|77486.00|2205.68|14.25
1551667|25.80|26.00|25.40|77243.00|2230.84|14.31
1557476|26.00|26.00|25.40|76944.00|2261.90|14.00
1563283|25.70|26.00|25.40|76663.00|2291.17|13.69
1569092|25.60|25.90|25.40|76437.00|2314.78|13.56
1574899|25.40|26.00|25.40|76147.00|2345.16|13.44
1580708|25.40|25.90|25.40|75971.00|2363.64|13.19
1586518|25.00|25.90|25.40|75822.00|2379.31|13.00
1592328|25.20|25.90|25.40|75636.00|2398.91|12.88
1598136|25.40|25.90|25.40|75383.00|2425.63|12.81
1603944|25.60|25.90|25.40|75087.00|2456.99|12.81
1609752|25.90|25.80|25.40|74780.00|2489.62|12.69
1615560|26.00|25.90|25.40|74517.00|2517.65|12.69
1621369|26.00|25.90|25.40|74283.00|2542.67|12.50
1627177|26.00|25.80|25.30|74072.00|2565.28|12.44
1632985|25.80|25.80|25.30|73893.00|2584.50|12.38
1638793|25.50|25.80|25.30|73692.00|2606.13|12.25
1644602|25.40|25.80|25.30|73487.00|2628.24|12.13
1650409|25.30|25.80|25.30|73232.00|2655.81|11.94
1656219|25.20|25.80|25.30|73069.00|2673.47|11.88
1662026|24.60|25.80|25.30|72898.00|2692.04|12.13
1667834|24.50|25.80|25.30|72632.00|2720.99|12.13
1673644|24.50|25.80|25.30|72337.00|2753.20|11.75
1679452|23.60|25.70|25.30|72078.00|2781.56|11.50
1685260|23.60|25.70|25.30|71870.00|2804.40|11.44
1691067|23.70|25.70|25.20|71675.00|2825.87|11.25
1696875|23.70|25.70|25.20|71517.00|2843.29|11.13
1702684|23.70|25.70|25.20|71286.00|2868.82|10.94
1708493|23.50|25.70|25.20|71018.00|2898.52|10.69
1714304|22.90|25.70|25.20|70777.00|2925.31|10.63
1720112|23.00|25.70|25.20|70555.00|2950.05|10.75
1725919|23.20|25.70|25.20|70399.00|2967.47|10.69
1731728|23.30|25.60|25.20|70206.00|2989.07|10.63
1737536|23.20|25.60|25.20|69984.00|3013.98|10.63
1743343|23.30|25.60|25.10|69681.00|3048.07|10.69
1749152|23.30|25.60|25.10|69383.00|3081.72|10.56
1754961|22.80|25.60|25.10|69088.00|3115.15|10.63
1760770|22.50|25.50|25.10|68828.00|3144.70|10.50
1766578|22.20|25.50|25.10|68606.00|3170.01|10.63
1772387|22.00|25.50|25.10|68302.00|3204.78|10.50
1778195|21.60|25.50|25.10|68121.00|3225.53|10.56
1784003|20.70|25.50|25.10|67850.00|3256.70|10.81
1789811|20.90|25.40|25.00|67593.00|3286.34|10.69
1795619|20.70|25.40|25.00|67410.00|3307.51|10.50
1801427|21.50|25.40|25.00|67259.00|3325.01|10.44
1807236|22.10|25.30|25.00|67059.00|3348.24|10.38
1813044|22.50|25.40|25.00|66851.00|3372.45|10.06
1818851|22.80|25.30|25.00|66600.00|3401.76|9.81
1824659|22.90|25.30|24.90|66386.00|3426.81|9.81
1830468|22.80|25.30|24.90|66216.00|3446.76|9.88
1836277|22.80|25.30|24.90|66059.00|3465.22|9.88
1842086|22.70|25.30|24.90|65845.00|3490.45|9.69
1847895|22.70|25.30|24.90|65636.00|3515.14|9.50
1853703|22.60|25.30|24.90|65432.00|3539.31|9.38
1859511|22.30|25.20|24.80|65134.00|3574.72|9.38
1865318|21.20|25.20|24.80|64950.00|3596.65|9.38
1871126|20.40|25.20|24.80|64758.00|3619.59|9.25
1876935|20.90|25.20|24.80|64510.00|3649.30|9.19
1882743|21.40|25.20|24.80|64288.00|3675.97|9.25
1888551|21.90|25.20|24.80|64059.00|3703.56|9.19
1894361|22.10|25.10|24.80|63804.00|3734.38|9.00
1900169|22.00|25.10|24.70|63591.00|3760.20|9.06
1905977|22.00|25.10|24.70|63310.00|3794.38|8.81
1911785|21.80|25.00|24.70|63048.00|3826.35|8.81
1917592|20.90|25.00|24.70|62821.00|3854.13|8.94
1923400|21.10|25.00|24.70|62582.00|3883.48|8.88
1929209|21.70|25.00|24.70|62412.00|3904.40|8.81
1935017|22.00|24.90|24.60|62223.00|3927.73|8.81
1940826|22.00|25.00|24.60|62011.00|3953.95|8.94
1946634|22.10|24.90|24.60|61826.00|3976.90|8.69
1952443|22.10|24.90|24.60|61651.00|3998.66|8.44
1958251|22.00|24.90|24.60|61450.00|4023.71|8.31
1964058|21.80|24.90|24.60|61250.00|4048.70|8.19
1969866|21.70|24.90|24.50|61070.00|4071.25|8.00
1975675|21.60|24.80|24.50|60913.00|4090.97|8.06
1981484|21.50|24.80|24.50|60701.00|4117.65|8.13
1987292|21.40|24.80|24.50|60506.00|4142.26|7.88
1993099|21.30|24.80|24.50|60311.00|4166.93|7.94
1998907|21.30|24.80|24.50|60126.00|4190.40|7.88
2004716|21.30|24.70|24.50|59972.00|4209.99|7.69
2010525|21.30|24.70|24.40|59779.00|4234.58|7.44
2016335|21.30|24.70|24.40|59560.00|4262.57|7.31
2022145|21.60|24.70|24.40|59337.00|4291.16|7.31
2027953|21.80|24.60|24.40|59112.00|4320.09|7.13
2033761|21.90|24.60|24.40|58964.00|4339.17|7.06
2039568|21.80|24.60|24.40|58778.00|4363.20|7.06
2045376|21.60|24.60|24.30|58518.00|4396.90|6.81
2051185|21.50|24.60|24.30|58332.00|4421.08|6.75
2056994|21.40|24.50|24.30|58113.00|4449.63|6.50
2062811|21.10|24.50|24.30|57905.00|4476.83|6.25
2068619|20.80|24.50|24.30|57671.00|4507.52|6.19
2074428|20.70|24.40|24.20|57463.00|4534.89|5.75
2080236|20.60|24.40|24.20|57299.00|4556.53|5.44
2086045|20.50|24.40|24.20|57101.00|4582.71|4.75
2091854|20.50|24.40|24.20|56917.00|4607.12|4.25
2097662|20.50|24.40|24.20|56737.00|4631.05|3.94
2103471|20.60|24.40|24.10|56559.00|4654.78|3.56
2109278|20.60|24.30|24.10|56342.00|4683.78|3.25
2115086|20.40|24.30|24.10|56140.00|4710.87|2.69
2120894|20.30|24.30|24.10|56022.00|4726.73|2.31
2126702|20.20|24.20|24.10|55873.00|4746.79|1.94
2132511|20.20|24.20|24.00|55724.00|4766.89|1.50
2138320|20.30|24.20|24.00|55546.00|4790.97|1.25
2144130|20.40|24.20|24.00|55389.00|4812.26|1.12
2149939|20.40|24.20|24.00|55258.00|4830.06|0.81
2155748|20.20|24.20|23.90|55039.00|4859.89|0.44
2161556|20.10|24.10|23.90|54784.00|4894.75|0.25
2167364|18.30|24.10|23.90|54553.00|4926.44|0.19
2173172|18.20|24.10|23.90|54377.00|4950.66|0.44
2178980|19.00|24.00|23.90|54179.00|4977.98|0.31
2184787|19.50|24.00|23.90|53984.00|5004.97|0.37
2190597|19.70|24.00|23.80|53781.00|5033.15|0.50
2196407|19.90|24.00|23.80|53633.00|5053.75|0.44
2202216|20.10|23.90|23.80|53453.00|5078.87|0.25
2208025|19.90|24.00|23.70|53231.00|5109.93|0.44
2213833|19.80|23.90|23.70|53018.00|5139.84|0.25
2219641|19.60|23.90|23.70|52848.00|5163.78|0.31
2225449|19.60|23.80|23.70|52613.00|5196.98|0.44
2231257|19.60|23.80|23.70|52372.00|5231.15|0.31
2237065|19.90|23.80|23.70|52142.00|5263.88|0.44
2242873|20.00|23.80|23.60|51980.00|5287.00|0.31
2248682|20.00|23.70|23.60|51833.00|5308.03|0.12
2254491|20.00|23.70|23.60|51619.00|5338.74|0.25
2260304|19.90|23.70|23.50|51378.00|5373.44|0.06
2266112|19.90|23.70|23.50|51131.00|5409.14|0.06
2271921|20.10|23.60|23.50|50913.00|5440.77|-0.19
2277729|20.20|23.60|23.50|50744.00|5465.37|-0.12
2283537|20.10|23.60|23.50|50500.00|5500.99|-0.19
2289344|19.90|23.60|23.40|50279.00|5533.38|-0.63
2295153|19.20|23.50|23.40|50105.00|5558.96|-0.75
2300962|18.80|23.50|23.40|49944.00|5582.69|-1.12
2306770|18.60|23.50|23.30|49778.00|5607.23|-1.25
2312579|18.70|23.50|23.30|49593.00|5634.66|-1.12
2318388|18.90|23.40|23.30|49432.00|5658.59|-1.31
2324196|19.10|23.40|23.30|49303.00|5677.81|-1.50
2330004|19.10|23.30|23.30|49179.00|5696.32|-1.63
2335812|19.10|23.30|23.20|49057.00|5714.58|-1.75
2341619|19.30|23.30|23.20|48926.00|5734.22|-2.19
2347428|19.80|23.30|23.20|48774.00|5757.06|-2.69
2353238|20.20|23.20|23.20|48571.00|5787.66|-3.06
2359046|20.20|23.20|23.10|48393.00|5814.58|-3.44
2364854|19.90|23.20|23.10|48251.00|5836.10|-3.75
2370661|19.70|23.20|23.10|48146.00|5852.06|-4.25
2376470|19.60|23.10|23.00|47999.00|5874.44|-4.56
2382278|19.70|23.10|23.00|47800.00|5904.82|-4.56
2388087|19.50|23.10|23.00|47645.00|5928.56|-4.75
2393896|19.30|23.00|23.00|47521.00|5947.60|-4.81
2399705|19.30|23.00|22.90|47357.00|5972.84|-4.88
2405512|19.30|22.90|22.90|47133.00|6007.42|-5.06
2411320|19.10|22.90|22.90|46883.00|6046.18|-5.38
2417129|19.00|22.90|22.80|46704.00|6074.04|-5.69
2422938|19.10|22.80|22.80|46523.00|6102.29|-6.00
2428746|19.00|22.80|22.80|46351.00|6129.22|-6.13
2434555|19.00|22.80|22.80|46214.00|6150.73|-6.25
2440363|19.20|22.70|22.70|46108.00|6167.41|-6.44
2446171|19.10|22.70|22.70|45998.00|6184.74|-6.56
2451980|19.10|22.70|22.70|45849.00|6208.28|-6.50
2457789|19.00|22.70|22.60|45738.00|6225.86|-6.69
2463597|19.20|22.60|22.60|45624.00|6243.95|-6.69
2469404|19.50|22.60|22.60|45520.00|6260.48|-6.50
2475213|19.40|22.60|22.60|45432.00|6274.50|-6.56
2481021|19.40|22.50|22.50|45335.00|6289.97|-6.75
2486829|19.60|22.50|22.50|45230.00|6306.75|-6.63
2492638|20.00|22.40|22.50|45120.00|6324.36|-6.75
2498448|20.10|22.40|22.40|45016.00|6341.05|-6.88
2504256|20.30|22.40|22.40|44920.00|6356.47|-6.56
2510063|20.50|22.30|22.40|44825.00|6371.77|-6.56
2515871|20.70|22.30|22.30|44728.00|6387.41|-6.69
2521679|20.80|22.30|22.30|44623.00|6404.37|-6.81
2527488|20.70|22.20|22.30|44523.00|6420.56|-7.13
2533296|20.70|22.20|22.20|44413.00|6438.40|-7.31
2539104|20.70|22.20|22.20|44306.00|6455.78|-7.50
2544913|20.80|22.10|22.20|44202.00|6472.71|-7.31
2550722|20.70|22.10|22.20|44088.00|6491.31|-7.38
2556532|20.80|22.10|22.10|43902.00|6521.74|-7.38
2562341|20.80|22.00|22.10|43742.00|6547.99|-7.50
2568150|20.90|22.00|22.10|43554.00|6578.94|-7.44
2573957|20.90|22.00|22.00|43402.00|6604.05|-7.44
2579766|20.80|22.00|22.00|43232.00|6632.20|-7.25
2585574|20.70|21.90|22.00|43111.00|6652.30|-7.25
2591382|20.70|21.90|21.90|43009.00|6669.28|-7.44
2597190|20.50|21.80|21.90|42913.00|6685.29|-7.50
2602997|20.40|21.80|21.90|42825.00|6699.99|-7.19
2608805|20.30|21.80|21.80|42721.00|6717.39|-7.06
2614615|20.50|21.80|21.80|42598.00|6738.02|-7.13
2620424|20.70|21.70|21.80|42477.00|6758.36|-7.38
2626233|20.90|21.70|21.80|42294.00|6789.21|-7.63
2632041|20.90|21.70|21.70|42136.00|6815.94|-8.00
2637848|20.60|21.70|21.70|41962.00|6845.46|-8.00
2643657|20.20|21.60|21.70|41829.00|6868.10|-8.13
2649466|20.20|21.50|21.60|41718.00|6887.03|-8.31
2655275|20.20|21.50|21.60|41603.00|6906.69|-8.75
2661082|20.30|21.50|21.60|41442.00|6934.29|-9.38
2666890|20.70|21.40|21.50|41290.00|6960.43|-9.75
2672699|20.80|21.40|21.50|41193.00|6977.15|-10.00
2678508|20.60|21.30|21.50|41075.00|6997.53|-10.06
2684317|20.20|21.30|21.40|40964.00|7016.74|-9.75
2690125|20.00|21.30|21.40|40851.00|7036.35|-9.50
2695932|20.00|21.20|21.40|40724.00|7058.44|-9.63
2701741|20.10|21.20|21.40|40628.00|7075.17|-9.88
2707550|20.30|21.20|21.30|40512.00|7095.44|-10.13
2713359|20.50|21.20|21.30|40390.00|7116.80|-10.38
2719167|20.70|21.10|21.20|40227.00|7145.41|-10.75
2724974|20.80|21.10|21.20|40066.00|7173.78|-11.13
2730783|20.80|21.00|21.20|39899.00|7203.29|-11.44
2736592|20.60|21.00|21.10|39731.00|7233.09|-11.56
2742402|20.40|21.00|21.10|39547.00|7265.84|-11.75
2748210|20.20|20.90|21.10|39396.00|7292.81|-12.19
